                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1431,                 1.6919,                 1.4461,                0.94422,                 0.9239,                 0.9558,                0.68113,                0.99393,                 1.0821,                 1.0251,              0.0033288,              0.0033288,              0.0033288
                      2,                 1.1436,                 1.1098,                 1.4276,                0.94431,                0.90335,                0.94933,                0.68166,                0.94958,                0.75995,                 1.0381,              0.0066358,              0.0066358,              0.0066358
                      3,                 1.1862,                 1.0347,                 1.4603,                0.91345,                0.87493,                0.93049,                0.64088,                 1.0566,                0.95169,                 1.1113,              0.0099163,              0.0099163,              0.0099163
                      4,                 1.2089,                  1.026,                 1.4837,                0.94949,                0.88699,                0.94525,                0.66149,                 1.0466,                0.69453,                  1.105,              0.0098812,              0.0098812,              0.0098812
                      5,                 1.1664,                 0.9549,                 1.4503,                0.95406,                0.91529,                0.94346,                0.66295,                 1.0131,                0.71878,                 1.0871,              0.0098812,              0.0098812,              0.0098812
                      6,                 1.1372,                0.91105,                 1.4302,                0.95864,                0.90847,                0.95718,                0.68828,                0.95718,                0.64382,                 1.0732,              0.0098416,              0.0098416,              0.0098416
                      7,                 1.1144,                0.88495,                 1.4147,                0.94174,                0.91902,                0.96137,                0.69796,                0.92943,                0.68425,                 1.0509,               0.009802,               0.009802,               0.009802
                      8,                 1.0913,                0.86403,                 1.3981,                0.95369,                0.89426,                0.94723,                0.65733,                 1.0258,                0.62106,                 1.0851,              0.0097624,              0.0097624,              0.0097624
                      9,                 1.0852,                0.84728,                 1.3921,                0.97137,                0.93064,                 0.9616,                0.71014,                0.94269,                0.55613,                 1.0735,              0.0097228,              0.0097228,              0.0097228
                     10,                 1.0666,                0.82869,                 1.3789,                 0.9726,                0.93121,                0.97118,                0.70149,                 0.9771,                0.56677,                 1.0658,              0.0096832,              0.0096832,              0.0096832
                     11,                 1.0416,                0.80706,                 1.3578,                0.96025,                0.94258,                0.96741,                0.70309,                0.94695,                0.52909,                 1.0437,              0.0096436,              0.0096436,              0.0096436
                     12,                 1.0353,                0.80949,                 1.3534,                0.97145,                0.93746,                0.97127,                0.71894,                0.92323,                0.54133,                 1.0355,               0.009604,               0.009604,               0.009604
                     13,                 1.0344,                0.79777,                 1.3541,                0.95958,                0.93974,                0.96986,                0.71774,                0.90667,                0.52825,                  1.053,              0.0095644,              0.0095644,              0.0095644
                     14,                 1.0232,                 0.7915,                 1.3434,                0.96875,                0.93411,                0.96589,                 0.7223,                0.89969,                0.49136,                 1.0287,              0.0095248,              0.0095248,              0.0095248
                     15,                 1.0196,                0.77967,                 1.3391,                 0.9609,                0.94144,                0.97147,                0.73378,                0.87274,                0.50029,                 1.0258,              0.0094852,              0.0094852,              0.0094852
                     16,                0.99857,                0.76006,                  1.324,                0.97786,                 0.9386,                0.97346,                 0.7313,                0.88424,                0.49013,                 1.0273,              0.0094456,              0.0094456,              0.0094456
                     17,                 1.0076,                0.76333,                 1.3252,                0.96123,                0.95054,                 0.9711,                0.71784,                0.89668,                 0.4917,                 1.0244,               0.009406,               0.009406,               0.009406
                     18,                 0.9965,                 0.7548,                 1.3233,                0.97073,                0.94272,                0.97328,                0.73265,                0.88286,                0.46101,                  1.021,              0.0093664,              0.0093664,              0.0093664
                     19,                 0.9912,                0.74778,                 1.3198,                0.97004,                0.94486,                0.96761,                0.74109,                 0.8342,                0.45687,                 1.0069,              0.0093268,              0.0093268,              0.0093268
                     20,                0.98056,                0.74098,                 1.3143,                0.97781,                0.95192,                0.97211,                0.73782,                0.86421,                0.44853,                 1.0179,              0.0092872,              0.0092872,              0.0092872
                     21,                0.97261,                 0.7373,                 1.3051,                0.96138,                0.95395,                0.97151,                0.72439,                0.87575,                0.46122,                  1.026,              0.0092476,              0.0092476,              0.0092476
                     22,                0.96823,                0.73467,                 1.3044,                0.96943,                0.95281,                0.97376,                0.74349,                 0.8178,                0.43318,                 1.0044,               0.009208,               0.009208,               0.009208
                     23,                0.96213,                 0.7261,                 1.2988,                 0.9654,                0.95176,                0.96934,                0.72646,                0.86557,                0.46232,                 1.0271,              0.0091684,              0.0091684,              0.0091684
                     24,                0.95993,                0.72256,                 1.2963,                0.95642,                0.94813,                0.96906,                0.74094,                0.82167,                0.45122,                 1.0043,              0.0091288,              0.0091288,              0.0091288
                     25,                0.95389,                 0.7206,                 1.2908,                0.97383,                0.95191,                0.97258,                 0.7461,                0.82577,                0.42246,                 1.0022,              0.0090892,              0.0090892,              0.0090892
                     26,                0.94505,                0.71244,                 1.2862,                 0.9653,                0.95338,                0.97182,                0.73852,                0.85502,                0.43453,                 1.0059,              0.0090496,              0.0090496,              0.0090496
                     27,                0.95603,                0.72862,                 1.2881,                0.96401,                 0.9602,                 0.9753,                0.74423,                0.82897,                0.42928,                0.99937,                0.00901,                0.00901,                0.00901
                     28,                0.93349,                0.70273,                 1.2824,                0.97112,                0.94883,                0.97348,                0.73376,                 0.8598,                0.42982,                 1.0162,              0.0089704,              0.0089704,              0.0089704
                     29,                0.93805,                0.70698,                 1.2787,                0.97489,                0.95054,                0.97061,                0.74358,                0.83318,                0.40681,                 1.0015,              0.0089308,              0.0089308,              0.0089308
                     30,                0.92814,                0.70404,                 1.2722,                0.97544,                0.95225,                0.97135,                0.73778,                0.84143,                0.40953,                 1.0035,              0.0088912,              0.0088912,              0.0088912
                     31,                0.92335,                0.69231,                 1.2712,                0.95424,                0.96036,                0.97043,                0.74742,                 0.8238,                0.41136,                 1.0034,              0.0088516,              0.0088516,              0.0088516
                     32,                0.92183,                0.69427,                  1.271,                 0.9705,                0.95387,                0.97151,                0.75621,                0.80728,                0.39993,                0.99675,               0.008812,               0.008812,               0.008812
                     33,                0.92218,                0.68895,                 1.2681,                0.97122,                0.95911,                0.97881,                0.75425,                    0.8,                0.39609,                0.99002,              0.0087724,              0.0087724,              0.0087724
                     34,                0.91452,                0.68332,                 1.2639,                0.97065,                0.95892,                 0.9799,                0.75293,                0.82609,                0.38825,                0.99973,              0.0087328,              0.0087328,              0.0087328
                     35,                0.91234,                0.68163,                 1.2582,                0.97172,                0.95714,                0.97724,                0.75278,                0.80648,                0.39201,                0.99167,              0.0086932,              0.0086932,              0.0086932
                     36,                0.91001,                0.67766,                 1.2585,                0.97335,                0.95504,                0.97566,                0.75872,                0.80441,                0.39805,                0.98722,              0.0086536,              0.0086536,              0.0086536
                     37,                 0.8996,                0.67304,                  1.251,                0.97255,                0.95111,                0.97281,                0.74984,                0.81273,                0.39228,                0.98762,               0.008614,               0.008614,               0.008614
                     38,                0.90327,                0.67965,                 1.2523,                0.96694,                 0.9643,                0.97632,                0.74705,                 0.8158,                0.39436,                0.99884,              0.0085744,              0.0085744,              0.0085744
                     39,                0.89969,                0.66775,                  1.251,                0.97787,                0.95474,                 0.9731,                0.75129,                0.80898,                 0.3863,                0.99558,              0.0085348,              0.0085348,              0.0085348
                     40,                0.89562,                0.67007,                 1.2483,                0.97731,                0.95519,                0.97539,                0.75887,                0.80615,                0.38613,                0.98921,              0.0084952,              0.0084952,              0.0084952
                     41,                0.89178,                0.66393,                 1.2501,                0.97902,                0.95496,                0.97811,                 0.7533,                0.81476,                0.38389,                0.99123,              0.0084556,              0.0084556,              0.0084556
                     42,                0.89388,                0.66821,                 1.2408,                0.97043,                 0.9585,                0.97553,                0.75452,                0.80906,                0.38514,                0.99295,               0.008416,               0.008416,               0.008416
                     43,                0.87694,                0.65437,                 1.2385,                0.98087,                0.96173,                0.97767,                0.75498,                0.80807,                0.37239,                0.98989,              0.0083764,              0.0083764,              0.0083764
                     44,                0.88321,                0.65301,                 1.2351,                0.97201,                0.95566,                0.97659,                0.74857,                0.81562,                0.38034,                0.99064,              0.0083368,              0.0083368,              0.0083368
                     45,                0.87241,                0.64942,                 1.2293,                0.97188,                0.95793,                 0.9782,                0.75372,                0.79986,                0.37414,                0.98462,              0.0082972,              0.0082972,              0.0082972
